,date,3hrKp,6hrKp,9hrKp,12hrKp,15hrKp,18hrKp,21hrKp,24hrKp,27hrKp,30hrKp,33hrKp,36hrKp,39hrKp,42hrKp,45hrKp,48hrKp,51hrKp,54hrKp,57hrKp,60hrKp,63hrKp,66hrKp,69hrKp,72hrKp
51,2023-01-03,2.67,2.33,3.67,4.67,4.67,3.67,2.67,1.67,3.67,4.67,3.67,3.0,2.33,2.0,2.33,3.67,3.0,3.67,2.67,2.33,2.0,2.33,2.33,2.67
52,2023-01-04,3.67,4.67,3.67,3.0,2.33,3.0,3.67,3.33,3.0,3.67,2.67,2.33,2.0,2.33,2.33,2.67,2.33,2.67,2.33,2.33,2.33,2.67,2.33,2.67
53,2023-01-05,3.0,3.67,2.67,2.33,2.0,2.33,2.33,2.67,2.0,2.67,2.0,1.67,1.67,2.67,1.67,2.33,1.67,1.33,1.33,1.67,1.0,1.33,1.67,1.67
54,2023-01-06,2.67,2.67,2.0,1.67,1.0,0.67,1.67,2.67,2.67,3.0,2.67,1.67,1.0,0.67,1.0,1.67,1.67,2.67,3.0,2.67,2.67,1.67,2.0,2.67
55,2023-01-07,2.67,3.0,2.67,1.67,1.0,0.67,1.0,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,2.0,1.33,1.0,1.0,1.33,1.67,3.0,3.0
56,2023-01-08,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,2.0,1.33,1.0,1.0,1.33,1.67,3.0,3.0,2.67,3.33,3.0,2.33,2.0,1.67,1.67,2.33
57,2023-01-09,2.0,1.33,1.0,1.0,1.33,1.67,3.0,3.0,2.67,2.67,2.33,2.0,1.67,1.67,1.67,2.0,1.67,1.33,1.33,1.33,1.33,1.67,1.67,1.33
58,2023-01-10,2.67,2.67,2.33,2.0,1.67,1.67,1.67,2.0,1.67,1.33,1.33,1.33,1.33,1.67,1.67,1.33,1.67,1.67,1.33,1.33,1.33,1.33,1.67,1.33
59,2023-01-11,1.67,1.33,1.33,1.33,1.33,1.67,1.67,1.33,1.67,1.67,1.33,1.33,1.33,1.33,1.67,1.33,1.67,2.0,2.33,3.0,3.33,2.67,1.67,1.67
60,2023-01-12,1.67,1.67,1.33,1.33,1.33,1.33,1.67,1.33,1.0,1.0,2.33,2.67,3.33,3.0,2.33,2.67,3.0,2.33,2.33,1.33,1.67,2.0,2.33,2.0
61,2023-01-13,1.0,1.0,2.33,2.67,3.33,3.0,2.33,2.67,3.0,2.33,2.33,1.33,1.67,2.0,2.33,2.0,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
62,2023-01-14,3.0,2.33,2.33,1.33,1.67,2.0,2.33,2.0,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.67,1.33,1.33,1.67,1.33,1.33
63,2023-01-15,3.0,2.67,2.0,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.67,1.33,1.33,1.67,1.33,1.33,2.67,2.0,2.0,2.33,2.67,2.67,2.67,2.67
64,2023-01-16,1.67,2.67,2.33,2.0,1.33,2.0,2.0,2.0,2.67,2.0,2.0,2.33,2.67,2.67,2.67,2.67,3.33,3.67,3.0,2.67,2.33,3.0,3.0,2.67
65,2023-01-17,3.67,2.67,2.0,1.67,2.0,2.33,2.67,3.33,3.33,3.67,3.67,2.67,2.33,3.0,3.0,2.67,3.0,3.0,2.67,3.0,2.33,2.67,2.33,2.33
66,2023-01-18,2.33,2.67,2.67,2.33,2.67,3.67,4.33,3.67,3.0,2.67,2.33,1.67,2.0,2.67,3.0,3.67,3.33,3.67,3.67,3.33,2.67,2.33,2.67,3.0
67,2023-01-19,3.0,2.67,2.67,3.0,3.67,3.0,3.0,3.0,3.33,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.67,2.33,2.0,2.0,2.0,2.0,2.0,2.0
68,2023-01-20,1.33,1.33,1.33,1.67,2.67,3.67,3.67,3.67,3.67,3.67,2.67,2.67,2.33,2.0,2.0,2.0,2.67,2.67,2.33,2.33,1.33,1.33,2.0,1.67
69,2023-01-21,3.67,3.67,2.67,2.67,2.33,2.0,2.0,2.0,2.67,2.67,2.33,2.33,1.33,1.33,2.0,1.67,2.67,2.0,2.33,2.33,2.33,2.67,2.67,3.67
70,2023-01-22,3.67,3.0,2.33,2.33,2.0,1.0,2.0,2.0,2.67,2.0,2.33,2.33,2.33,2.67,2.67,3.67,3.67,3.67,3.0,2.67,2.0,2.33,3.33,3.33
71,2023-01-23,2.67,2.0,2.33,2.33,2.33,2.67,2.67,3.67,3.67,3.67,3.0,2.67,2.0,2.33,3.33,3.33,2.67,2.33,2.33,2.33,2.67,2.67,2.33,2.33
72,2023-01-24,3.67,3.67,3.0,2.67,2.0,2.33,3.33,3.33,2.67,2.33,2.33,2.33,2.67,2.67,2.33,2.33,2.33,2.33,2.0,2.0,2.33,2.0,2.33,2.33
73,2023-01-25,2.67,3.33,3.0,2.33,2.33,2.0,2.33,3.0,2.33,2.67,2.33,2.0,2.33,2.33,2.33,2.67,2.0,2.67,2.0,2.33,2.0,2.0,2.33,2.33
74,2023-01-26,2.67,3.0,2.0,2.0,2.33,1.33,1.0,1.33,2.0,2.67,2.0,2.33,2.0,2.0,2.33,2.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
75,2023-01-27,2.0,2.67,2.0,2.33,2.0,2.0,2.33,2.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
76,2023-01-28,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33
77,2023-01-29,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.33,1.67,1.33,1.33,1.67,1.33,1.67,1.33
78,2023-01-30,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.33,1.67,1.33,1.33,1.67,1.33,1.67,1.33,1.0,1.67,1.33,1.67,2.67,3.33,3.33,4.0
79,2023-01-31,2.67,3.0,1.67,1.67,1.67,1.33,1.33,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
80,2023-02-01,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.67,1.33,1.67,1.33
81,2023-02-02,,,,,,,,,,,,,,,,,,,,,,,,
82,2023-02-03,1.67,1.33,1.33,1.33,1.67,1.33,1.67,1.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.67,2.33,2.67,3.0,3.33
83,2023-02-04,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.67,2.33,2.67,3.0,3.33,4.0,3.67,3.0,2.67,2.33,2.33,2.67,2.67
84,2023-02-05,1.67,1.33,1.33,1.67,2.33,2.67,3.0,3.33,4.0,3.67,3.0,2.67,2.33,2.33,2.67,2.67,3.33,3.67,3.33,2.67,2.33,2.0,3.0,3.33
85,2023-02-06,3.33,3.67,3.0,2.33,2.67,3.0,3.33,3.33,3.0,3.33,2.33,2.67,2.0,2.0,2.33,3.0,2.67,2.0,2.0,2.0,2.0,2.0,2.33,2.33
86,2023-02-07,3.0,3.33,2.33,2.67,2.0,2.0,2.33,3.0,2.67,2.0,2.0,2.0,1.67,2.0,2.33,2.67,2.67,2.33,2.0,2.0,1.67,2.0,2.0,2.33
87,2023-02-08,3.67,3.0,2.33,2.67,1.67,2.0,2.33,2.67,2.67,2.33,2.0,2.0,1.67,2.0,2.0,2.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
88,2023-02-09,3.67,3.33,2.67,2.33,2.0,2.33,2.0,2.33,2.33,2.67,2.33,2.0,1.67,1.33,1.67,2.0,1.67,1.33,1.67,1.67,1.33,1.33,1.33,1.33
